time,open,high,low,close,volume
2020-01-06,8.9,8.9,8.9,8.9,0
2020-01-07,8.9,8.9,8.9,8.9,0
2020-01-08,8.9,8.9,8.9,8.9,0
2020-01-09,8.9,8.9,8.9,8.9,0
2020-01-10,8.9,8.9,8.9,8.9,0
2020-01-13,9.2,9.2,9.2,9.2,100
2020-01-14,9.2,9.2,9.2,9.2,0
2020-01-15,9.2,9.2,9.2,9.2,0
2020-01-16,9.2,9.2,9.2,9.2,0
2020-01-17,9.2,9.2,9.2,9.2,0
2020-01-20,9.2,9.2,9.2,9.2,0
2020-01-21,9.2,9.2,9.2,9.2,0
2020-01-22,9.2,9.2,9.2,9.2,0
2020-01-30,9.2,9.2,9.2,9.2,0
2020-01-31,9.2,9.2,9.2,9.2,0
2020-02-03,9.2,9.2,9.2,9.2,0
2020-02-04,9.2,9.2,9.2,9.2,0
2020-02-05,9.2,9.2,9.2,9.2,0
2020-02-06,9.2,9.2,9.2,9.2,0
2020-02-07,9.2,9.2,9.2,9.2,0
2020-02-10,9.2,9.2,9.2,9.2,0
2020-02-11,9.2,9.2,9.2,9.2,0
2020-02-12,9.2,9.2,9.2,9.2,0
2020-02-13,9.2,9.2,9.2,9.2,0
2020-02-14,9.2,9.2,9.2,9.2,0
2020-02-17,9.2,9.2,9.2,9.2,0
2020-02-18,9.2,9.2,9.2,9.2,0
2020-02-19,9.2,9.2,9.2,9.2,0
2020-02-20,9.2,9.2,9.2,9.2,0
2020-02-21,9.2,9.2,9.2,9.2,0
2020-02-24,9.2,9.2,9.2,9.2,0
2020-02-25,9.2,9.2,9.2,9.2,0
2020-02-26,9.2,9.2,9.2,9.2,0
2020-02-27,9.2,9.2,9.2,9.2,0
2020-02-28,9.2,9.2,9.2,9.2,0
2020-03-02,9.2,9.2,9.2,9.2,0
2020-03-03,9.2,9.2,9.2,9.2,0
2020-03-04,9.2,9.2,9.2,9.2,10
2020-03-05,9.2,9.2,9.2,9.2,10
2020-03-06,9.2,9.2,9.2,9.2,0
2020-03-09,9.2,9.2,9.2,9.2,0
2020-03-10,9.2,9.2,9.2,9.2,0
2020-03-11,9.2,9.2,9.2,9.2,0
2020-03-12,9.2,9.2,9.2,9.2,0
2020-03-13,9.2,9.2,9.2,9.2,0
2020-03-16,9.2,9.2,9.2,9.2,10
2020-03-17,9.2,9.2,9.2,9.2,0
2020-03-18,9.2,9.2,9.2,9.2,0
2020-03-19,9.2,9.2,9.2,9.2,0
2020-03-20,9.2,9.2,9.2,9.2,0
2020-03-23,9.2,9.2,9.2,9.2,0
2020-03-24,9.2,9.2,9.2,9.2,0
2020-03-25,9.2,9.2,9.2,9.2,0
2020-03-26,9.2,9.2,9.2,9.2,0
2020-03-27,9.2,9.2,9.2,9.2,0
2020-03-30,9.2,9.2,9.2,9.2,0
2020-03-31,9.2,9.2,9.2,9.2,0
2020-04-01,9.2,9.2,9.2,9.2,0
2020-04-03,9.2,9.2,9.2,9.2,0
2020-04-06,9.2,9.2,9.2,9.2,0
2020-04-07,9.2,9.2,9.2,9.2,0
2020-04-08,9.2,9.2,9.2,9.2,0
2020-04-09,9.2,9.2,9.2,9.2,0
2020-04-10,9.2,9.2,9.2,9.2,0
2020-04-13,9.2,9.2,9.2,9.2,0
2020-04-14,9.2,9.2,9.2,9.2,0
2020-04-15,9.2,9.2,9.2,9.2,0
2020-04-16,9.2,9.2,9.2,9.2,0
2020-04-17,9.2,9.2,9.2,9.2,0
2020-04-20,9.2,9.2,9.2,9.2,0
2020-04-21,9.2,9.2,9.2,9.2,0
2020-04-22,9.2,9.2,9.2,9.2,0
2020-04-23,9.2,9.2,9.2,9.2,0
2020-04-24,9.2,9.2,9.2,9.2,0
2020-04-27,9.2,9.2,9.2,9.2,0
2020-04-28,9.2,9.2,9.2,9.2,0
2020-04-29,9.2,9.2,9.2,9.2,0
2020-05-04,9.2,9.2,9.2,9.2,0
2020-05-05,9.2,9.2,9.2,9.2,0
2020-05-06,9.2,9.2,9.2,9.2,0
2020-05-07,9.2,9.2,9.2,9.2,0
2020-05-08,9.2,9.2,9.2,9.2,0
2020-05-11,9.2,9.2,9.2,9.2,0
2020-05-12,9.2,9.2,9.2,9.2,0
