time,open,high,low,close,volume
2020-01-06,0.3,0.3,0.3,0.2,0
2020-01-07,0.3,0.3,0.3,0.2,0
2020-01-08,0.3,0.3,0.3,0.2,0
2020-01-09,0.3,0.3,0.3,0.2,0
2020-01-10,0.4,0.4,0.3,0.3,282
2020-01-13,0.4,0.4,0.4,0.3,0
2020-01-14,0.4,0.4,0.4,0.3,0
2020-01-15,0.4,0.4,0.4,0.3,0
2020-01-16,0.4,0.4,0.4,0.3,0
2020-01-17,0.3,0.3,0.3,0.3,10050
2020-01-20,0.3,0.3,0.3,0.3,0
2020-01-21,0.3,0.3,0.3,0.3,0
2020-01-22,0.3,0.3,0.3,0.3,0
2020-01-30,0.3,0.3,0.3,0.3,0
2020-01-31,0.2,0.3,0.2,0.3,200
2020-02-03,0.3,0.3,0.3,0.3,0
2020-02-04,0.3,0.3,0.3,0.3,0
2020-02-05,0.3,0.3,0.3,0.3,0
2020-02-06,0.3,0.3,0.3,0.3,0
2020-02-07,0.2,0.3,0.2,0.2,5200
2020-02-10,0.3,0.3,0.3,0.2,0
2020-02-11,0.3,0.3,0.3,0.2,0
2020-02-12,0.3,0.3,0.3,0.2,0
2020-02-13,0.3,0.3,0.3,0.2,0
2020-02-14,0.3,0.3,0.2,0.3,20800
2020-02-17,0.3,0.3,0.3,0.3,0
2020-02-18,0.3,0.3,0.3,0.3,0
2020-02-19,0.3,0.3,0.3,0.3,0
2020-02-20,0.3,0.3,0.3,0.3,0
2020-02-21,0.2,0.3,0.2,0.3,12602
2020-02-24,0.3,0.3,0.3,0.3,0
2020-02-25,0.3,0.3,0.3,0.3,0
2020-02-26,0.3,0.3,0.3,0.3,0
2020-02-27,0.3,0.3,0.3,0.3,0
2020-02-28,0.3,0.3,0.3,0.3,100
2020-03-02,0.3,0.3,0.3,0.3,0
2020-03-03,0.3,0.3,0.3,0.3,0
2020-03-04,0.3,0.3,0.3,0.3,0
2020-03-05,0.3,0.3,0.3,0.3,0
2020-03-06,0.2,0.3,0.2,0.3,530
2020-03-09,0.3,0.3,0.3,0.3,0
2020-03-10,0.3,0.3,0.3,0.3,0
2020-03-11,0.3,0.3,0.3,0.3,0
2020-03-12,0.3,0.3,0.3,0.3,0
2020-03-13,0.3,0.3,0.2,0.2,119500
2020-03-16,0.2,0.2,0.2,0.2,0
2020-03-17,0.2,0.2,0.2,0.2,0
2020-03-18,0.2,0.2,0.2,0.2,0
2020-03-19,0.2,0.2,0.2,0.2,0
2020-03-20,0.3,0.3,0.3,0.3,300
2020-03-23,0.3,0.3,0.3,0.3,0
2020-03-24,0.3,0.3,0.3,0.3,0
2020-03-25,0.3,0.3,0.3,0.3,0
2020-03-26,0.3,0.3,0.3,0.3,0
2020-03-27,0.3,0.3,0.2,0.2,7450
2020-03-30,0.2,0.2,0.2,0.2,0
2020-03-31,0.2,0.2,0.2,0.2,0
2020-04-01,0.2,0.2,0.2,0.2,0
2020-04-03,0.2,0.2,0.2,0.2,55000
2020-04-06,0.2,0.2,0.2,0.2,0
2020-04-07,0.2,0.2,0.2,0.2,0
2020-04-08,0.2,0.2,0.2,0.2,0
2020-04-09,0.2,0.2,0.2,0.2,0
